Type,Value,Confidence,DateAdded,LastModified,Description,Source,Tags
Address,104.217.62.110,90,10-30-2020,10-30-2020,"IP hosts a most likely Ryuk domain on a dedicated server, as of October 30 2020.

",ThreatConnect Enrichment,Dedicated Server;Ryuk;Wizard Spider;UNC1878
Address,104.149.170.190,90,10-30-2020,10-30-2020,"IP hosts a most likely Ryuk domain on a dedicated server, as of October 30 2020.

",ThreatConnect Enrichment,Wizard Spider;Dedicated Server;UNC1878;Ryuk
Address,172.106.86.6,90,10-30-2020,10-30-2020,"IP hosts a most likely Ryuk domain on a dedicated server, as of October 30 2020.

",ThreatConnect Enrichment,Wizard Spider;UNC1878;Dedicated Server;Ryuk
Address,104.149.170.182,90,10-30-2020,10-30-2020,"IP hosts a most likely Ryuk domain on a dedicated server, as of October 30 2020.

",ThreatConnect Enrichment,Wizard Spider;UNC1878;Ryuk;Dedicated Server
Address,104.217.62.111,90,10-30-2020,10-30-2020,"IP hosts a most likely Ryuk domain on a dedicated server, as of October 30 2020.

",ThreatConnect Enrichment,Dedicated Server;Ryuk;Wizard Spider;UNC1878
Address,104.149.170.166,90,10-30-2020,10-30-2020,"IP hosts a most likely Ryuk domain on a dedicated server, as of October 30 2020.

",ThreatConnect Enrichment,UNC1878;Wizard Spider;Ryuk;Dedicated Server
Address,172.106.86.5,90,10-30-2020,10-30-2020,"IP hosts a most likely Ryuk domain on a dedicated server, as of October 30 2020.

",ThreatConnect Enrichment,Ryuk;Wizard Spider;Dedicated Server;UNC1878
Address,104.149.168.222,90,10-30-2020,10-30-2020,"IP hosts a most likely Ryuk domain on a dedicated server, as of October 30 2020.

",ThreatConnect Enrichment,Dedicated Server;Wizard Spider;UNC1878;Ryuk
Address,172.106.86.4,90,10-30-2020,10-30-2020,"IP hosts a most likely Ryuk domain on a dedicated server, as of October 30 2020.

",ThreatConnect Enrichment,Ryuk;UNC1878;Wizard Spider;Dedicated Server
Host,nasupdater.com,90,10-30-2020,10-30-2020,Most likely Ryuk domain registered on October 27 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,UNC1878;Dedicated Server;Ryuk;Wizard Spider
Host,nashelper.com,90,10-30-2020,10-30-2020,Most likely Ryuk domain registered on October 27 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Wizard Spider;Ryuk;UNC1878;Dedicated Server
Host,nasbooster.com,90,10-30-2020,10-30-2020,Most likely Ryuk domain registered on October 27 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Ryuk;UNC1878;Wizard Spider;Dedicated Server
Host,ibackupview.com,90,10-30-2020,10-30-2020,Most likely Ryuk domain registered on October 27 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Dedicated Server;UNC1878;Ryuk;Wizard Spider
Host,ibackupupdate.com,90,10-30-2020,10-30-2020,Most likely Ryuk domain registered on October 27 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Dedicated Server;Ryuk;Wizard Spider;UNC1878
Host,ibackupboost.com,90,10-30-2020,10-30-2020,Most likely Ryuk domain registered on October 27 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Dedicated Server;Ryuk;Wizard Spider;UNC1878
Host,checksservice.com,90,10-30-2020,10-30-2020,Most likely Ryuk domain registered on October 27 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Ryuk;Wizard Spider;UNC1878;Dedicated Server
Host,iservicec.com,90,10-30-2020,10-30-2020,Most likely Ryuk domain registered on October 27 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Ryuk;Dedicated Server;Wizard Spider;UNC1878
Host,uncheckhel.com,90,10-30-2020,10-30-2020,Most likely Ryuk domain registered on October 27 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Wizard Spider;Ryuk;Dedicated Server;UNC1878
Address,104.149.168.213,90,10-29-2020,10-30-2020,"IP hosts most likely Ryuk domain backupslive.com on a dedicated server, as of October 29 2020.",ThreatConnect Enrichment,Ryuk;Dedicated Server;UNC1878;Wizard Spider
Host,backupslive.com,90,10-29-2020,10-30-2020,"Most likely Ryuk domain registered on October 27 2020 through NameCheap and hosted on a dedicated server at 104.149.168.213. Per Censys, domain uses an SSL certificate with similar subject string (""C=US, ST=TX, L=Texas, O=lol, OU=,"") compared to previous Ryuk infrastructure. ",ThreatConnect Enrichment,Ryuk;Dedicated Server;UNC1878;Wizard Spider
Address,209.141.34.91,50,10-29-2020,10-29-2020,IP hosts a possible Ryuk domain as of October 29 2020.,ThreatConnect Enrichment,Ryuk;UNC1878;Wizard Spider;Dedicated Server
Host,thecheckupdater.com,50,10-29-2020,10-29-2020,Possible Ryuk domain registered on October 26 2020 and hosted on a probable dedicated server.,ThreatConnect Enrichment,Ryuk;UNC1878;Wizard Spider;Dedicated Server
Host,supservupdate.com,50,10-29-2020,10-29-2020,Possible Ryuk domain registered on October 26 2020 and hosted on a probable dedicated server.,ThreatConnect Enrichment,Ryuk;UNC1878;Wizard Spider;Dedicated Server
Host,boost-helper.com,50,10-29-2020,10-29-2020,Possible Ryuk domain registered on October 26 2020 and hosted on a probable dedicated server.,ThreatConnect Enrichment,Ryuk;UNC1878;Wizard Spider;Dedicated Server
Address,205.185.127.215,50,10-29-2020,10-29-2020,IP hosts a possible Ryuk domain as of October 29 2020.,ThreatConnect Enrichment,Ryuk;UNC1878;Wizard Spider;Dedicated Server
Address,209.141.61.43,50,10-29-2020,10-29-2020,IP hosts a possible Ryuk domain as of October 29 2020.,ThreatConnect Enrichment,Ryuk;UNC1878;Wizard Spider;Dedicated Server
Address,172.106.86.22,90,10-29-2020,10-29-2020,"IP hosts a most likely Ryuk domain on a dedicated server, as of October 29 2020.
",ThreatConnect Enrichment,Wizard Spider;Dedicated Server;Ryuk;UNC1878
Address,190.211.254.156,50,10-29-2020,10-29-2020,"IP hosts a possible Ryuk domain on a dedicated server, as of October 29 2020.",ThreatConnect Enrichment,UNC1878;Dedicated Server;Ryuk;Wizard Spider
Address,172.106.86.13,50,10-29-2020,10-29-2020,"IP hosts a possible Ryuk domain on a dedicated server, as of October 29 2020.",ThreatConnect Enrichment,Wizard Spider;Ryuk;UNC1878;Dedicated Server
Address,209.141.49.233,90,10-29-2020,10-29-2020,"IP hosts a most likely Ryuk domain on a dedicated server, as of October 29 2020.
",ThreatConnect Enrichment,UNC1878;Wizard Spider;Dedicated Server;Ryuk
Address,104.217.8.103,50,10-29-2020,10-29-2020,"IP hosts a possible Ryuk domain on a dedicated server, as of October 29 2020.",ThreatConnect Enrichment,UNC1878;Wizard Spider;Ryuk;Dedicated Server
Host,iupdaters.com,50,10-29-2020,10-29-2020,Possible Ryuk domain registered through Openprovider on October 23 2020 and hosted on a dedicated server.,ThreatConnect Enrichment,Ryuk;Dedicated Server;UNC1878;Wizard Spider
Host,iupdatemaster.com,50,10-29-2020,10-29-2020,Possible Ryuk domain registered through Openprovider on October 23 2020 and hosted on a dedicated server.,ThreatConnect Enrichment,UNC1878;Dedicated Server;Ryuk;Wizard Spider
Host,imasterupdate.com,50,10-29-2020,10-29-2020,Possible Ryuk domain registered through Openprovider on October 23 2020 and hosted on a dedicated server.,ThreatConnect Enrichment,Wizard Spider;UNC1878;Dedicated Server;Ryuk
Host,itopupdater.com,90,10-29-2020,10-29-2020,"Most likely Ryuk domain registered on October 23 2020 through Openprovider and hosted on a dedicated server. Per Censys, domain uses an SSL certificate with similar subject string (""C=US, ST=TX, L=Texas, O=lol, OU=,"") compared to previous Ryuk infrastructure.",ThreatConnect Enrichment,UNC1878;Wizard Spider;Ryuk;Dedicated Server
Host,it1booster.com,90,10-29-2020,10-29-2020,"Most likely Ryuk domain registered on October 23 2020 through Openprovider and hosted on a dedicated server. Per Censys, domain uses an SSL certificate with similar subject string (""C=US, ST=TX, L=Texas, O=lol, OU=,"") compared to previous Ryuk infrastructure.",ThreatConnect Enrichment,UNC1878;Ryuk;Wizard Spider;Dedicated Server
Host,idrivecheck.com,45,10-28-2020,10-28-2020,Most likely Ryuk domain registered on October 25 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Cobalt Strike;Ryuk
Address,205.185.123.62,90,10-28-2020,10-28-2020,IP address used to host a most likely Ryuk domain on a dedicated server in late October 2020.,ThreatConnect Enrichment,Ryuk
Address,81.17.28.70,90,10-28-2020,10-28-2020,IP address used to host a most likely Ryuk domain on a dedicated server in late October 2020.,ThreatConnect Enrichment,Ryuk
Address,81.17.28.122,90,10-28-2020,10-28-2020,IP address used to host a most likely Ryuk domain on a dedicated server in late October 2020.,ThreatConnect Enrichment,Ryuk
Address,179.43.128.3,90,10-28-2020,10-28-2020,IP address used to host a most likely Ryuk domain on a dedicated server in late October 2020.,ThreatConnect Enrichment,Ryuk
Address,205.185.121.134,90,10-28-2020,10-28-2020,IP address used to host a most likely Ryuk domain on a dedicated server in late October 2020.,ThreatConnect Enrichment,Ryuk
Address,81.17.28.105,90,10-28-2020,10-28-2020,IP address used to host a most likely Ryuk domain on a dedicated server in late October 2020.,ThreatConnect Enrichment,Ryuk
Address,179.43.158.171,90,10-28-2020,10-28-2020,IP address used to host a most likely Ryuk domain on a dedicated server in late October 2020.,ThreatConnect Enrichment,Ryuk
Address,179.43.133.44,90,10-28-2020,10-28-2020,IP address used to host a most likely Ryuk domain on a dedicated server in late October 2020.,ThreatConnect Enrichment,Ryuk
Address,179.43.160.205,90,10-28-2020,10-28-2020,IP address used to host a most likely Ryuk domain on a dedicated server in late October 2020.,ThreatConnect Enrichment,Ryuk
Address,179.43.128.5,90,10-28-2020,10-28-2020,IP address used to host a most likely Ryuk domain on a dedicated server in late October 2020.,ThreatConnect Enrichment,Cobalt Strike;Ryuk
Address,205.185.126.172,90,10-28-2020,10-28-2020,IP address used to host a most likely Ryuk domain on a dedicated server in late October 2020.,ThreatConnect Enrichment,Ryuk
Host,service1upd.com,90,10-28-2020,10-28-2020,Most likely Ryuk domain registered on October 25 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Ryuk
Host,service1boost.com,90,10-28-2020,10-28-2020,Most likely Ryuk domain registered on October 25 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Ryuk
Host,idriveview.com,90,10-28-2020,10-28-2020,Most likely Ryuk domain registered on October 25 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Ryuk
Host,idriveupdate.com,90,10-28-2020,10-28-2020,Most likely Ryuk domain registered on October 25 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Ryuk
Host,idriverrs.com,90,10-28-2020,10-28-2020,Most likely Ryuk domain registered on October 25 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Ryuk
Host,idrivehepler.com,90,10-28-2020,10-28-2020,Most likely Ryuk domain registered on October 25 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Ryuk
Host,idrivefinder.com,90,10-28-2020,10-28-2020,Most likely Ryuk domain registered on October 25 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Ryuk
Host,idrivedwn.com,90,10-28-2020,10-28-2020,Most likely Ryuk domain registered on October 25 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Ryuk
Host,idrivedownload.com,90,10-28-2020,10-28-2020,Most likely Ryuk domain registered on October 25 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Ryuk
Host,idriveboost.com,90,10-28-2020,10-28-2020,Most likely Ryuk domain registered on October 25 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Ryuk
File,27B341FA2AA731335273204CB112A414 : 3BA6EBC1CECA4A37FD13AC4875F2AFDDB046151C : 2FACD367C1299EF200934CFD06279F177F9E3145164E4BD595E2B94A403A1B02,100,10-28-2020,10-28-2020,Cobalt Strike executable communicates with most likely Ryuk domain idrivecheck.com.,ThreatConnect Enrichment,Cobalt Strike;Ryuk
Address,45.153.241.167,90,10-23-2020,10-23-2020,IP address used to host a most likely Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Dedicated Server;Ryuk
Address,45.147.231.222,90,10-23-2020,10-23-2020,IP address used to host a most likely Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Dedicated Server;Ryuk
Address,45.153.241.153,90,10-23-2020,10-23-2020,IP address used to host a most likely Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Ryuk;Dedicated Server
Address,45.153.241.158,90,10-23-2020,10-23-2020,IP address used to host a most likely Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Dedicated Server;Ryuk
Address,45.153.241.146,90,10-23-2020,10-23-2020,IP address used to host a most likely Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Dedicated Server;Ryuk
Address,45.153.241.141,90,10-23-2020,10-23-2020,IP address used to host a most likely Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Ryuk;Dedicated Server
Address,45.153.241.14,90,10-23-2020,10-23-2020,IP address used to host a most likely Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Dedicated Server;Ryuk
Address,45.153.241.138,90,10-23-2020,10-23-2020,IP address used to host a most likely Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Dedicated Server;Ryuk
Address,45.153.241.139,90,10-23-2020,10-23-2020,IP address used to host a most likely Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Ryuk;Dedicated Server
Address,45.153.241.134,90,10-23-2020,10-23-2020,IP address used to host a most likely Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Dedicated Server;Ryuk
Host,view-backup.com,90,10-23-2020,10-23-2020,"Most likely Ryuk domain registered on October 20 2020 through NameCheap and hosted on a dedicated server.

",ThreatConnect Enrichment,Dedicated Server;Ryuk
Host,top3servicebooster.com,90,10-23-2020,10-23-2020,"Most likely Ryuk domain registered on October 20 2020 through NameCheap and hosted on a dedicated server.

",ThreatConnect Enrichment,Dedicated Server;Ryuk
Host,servicereader.com,90,10-23-2020,10-23-2020,"Most likely Ryuk domain registered on October 20 2020 through NameCheap and hosted on a dedicated server.

",ThreatConnect Enrichment,Ryuk;Dedicated Server
Host,servicehel.com,90,10-23-2020,10-23-2020,"Most likely Ryuk domain registered on October 20 2020 through NameCheap and hosted on a dedicated server.

",ThreatConnect Enrichment,Dedicated Server;Ryuk
Host,service1view.com,90,10-23-2020,10-23-2020,"Most likely Ryuk domain registered on October 20 2020 through NameCheap and hosted on a dedicated server.

",ThreatConnect Enrichment,Dedicated Server;Ryuk
Host,service1update.com,90,10-23-2020,10-23-2020,"Most likely Ryuk domain registered on October 20 2020 through NameCheap and hosted on a dedicated server.

",ThreatConnect Enrichment,Ryuk;Dedicated Server
Host,driver1downloads.com,90,10-23-2020,10-23-2020,"Most likely Ryuk domain registered on October 20 2020 through NameCheap and hosted on a dedicated server.

",ThreatConnect Enrichment,Dedicated Server;Ryuk
Host,driver-boosters.com,90,10-23-2020,10-23-2020,"Most likely Ryuk domain registered on October 20 2020 through NameCheap and hosted on a dedicated server.

",ThreatConnect Enrichment,Dedicated Server;Ryuk
Host,backups1helper.com,90,10-23-2020,10-23-2020,"Most likely Ryuk domain registered on October 20 2020 through NameCheap and hosted on a dedicated server.

",ThreatConnect Enrichment,Dedicated Server;Ryuk
Host,service-hel.com,90,10-23-2020,10-23-2020,"Most likely Ryuk domain registered on October 20 2020 through NameCheap and hosted on a dedicated server.

",ThreatConnect Enrichment,Dedicated Server;Ryuk
File,ED0F520D410A684C6D0548DBF4CAEA98 : 6381FC7E6D39549E0F7E65AC8151EEB6D70ECEF9 : 093AC1213B112C7EB7C46000F04160AF37339CE0D6FFF514F0941F2B5AB48829,100,10-23-2020,10-23-2020,Malicious executable communicates with most likely Ryuk domain servicereader.com.,ThreatConnect Enrichment,
File,6C4DACBEFCA90DAD7EF318604E635E89 : 5810D3A052D459760DEFBF479BE15DF1EEBFF48F : 1C05380AF47696F7D7EF84B452FA4F662158D9F1CAF7AD01A455061081D13653,100,10-23-2020,10-23-2020,Malicious executable communicates with most likely Ryuk domain servicereader.com.,ThreatConnect Enrichment,
Host,driver1master.com,75,10-21-2020,10-21-2020,Probable Ryuk domain registered on October 17 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Ryuk;Dedicated Server
Host,checktodrivers.com,75,10-21-2020,10-21-2020,Probable Ryuk domain registered on October 17 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Dedicated Server;Ryuk
Host,godofservice.com,75,10-21-2020,10-21-2020,Probable Ryuk domain registered on October 17 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Dedicated Server;Ryuk
Host,service1updater.com,75,10-21-2020,10-21-2020,Probable Ryuk domain registered on October 17 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Dedicated Server;Ryuk
Host,boost-yourservice.com,75,10-21-2020,10-21-2020,Probable Ryuk domain registered on October 17 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Dedicated Server;Ryuk
Host,viewdrivers.com,75,10-21-2020,10-21-2020,Probable Ryuk domain registered on October 17 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Dedicated Server;Ryuk
Host,driver1updater.com,75,10-21-2020,10-21-2020,Probable Ryuk domain registered on October 17 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Dedicated Server;Ryuk
Host,backup1master.com,75,10-21-2020,10-21-2020,Probable Ryuk domain registered on October 17 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Dedicated Server;Ryuk
Host,driverdwl.com,75,10-21-2020,10-21-2020,Probable Ryuk domain registered on October 17 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Ryuk;Dedicated Server
Host,backup1helper.com,75,10-21-2020,10-21-2020,Probable Ryuk domain registered on October 17 2020 through NameCheap and hosted on a dedicated server.,ThreatConnect Enrichment,Dedicated Server;Ryuk
Address,45.153.241.1,75,10-21-2020,10-21-2020,IP address used to host a probable Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Dedicated Server;Ryuk
Address,45.153.240.136,75,10-21-2020,10-21-2020,IP address used to host a probable Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Ryuk;Dedicated Server
Address,194.36.188.45,75,10-21-2020,10-21-2020,IP address used to host a probable Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Dedicated Server;Ryuk
Address,45.153.240.220,75,10-21-2020,10-21-2020,IP address used to host a probable Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Dedicated Server;Ryuk
Address,45.153.240.178,75,10-21-2020,10-21-2020,IP address used to host a probable Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Dedicated Server;Ryuk
Address,194.36.188.154,75,10-21-2020,10-21-2020,IP address used to host a probable Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Ryuk;Dedicated Server
Address,45.153.240.194,75,10-21-2020,10-21-2020,IP address used to host a probable Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Ryuk;Dedicated Server
Address,45.153.240.240,75,10-21-2020,10-21-2020,IP address used to host a probable Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Ryuk;Dedicated Server
Address,45.153.240.246,75,10-21-2020,10-21-2020,IP address used to host a probable Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Ryuk;Dedicated Server
Address,185.117.75.193,75,10-21-2020,10-21-2020,IP address used to host a probable Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Ryuk;Dedicated Server
Address,45.153.240.157,75,10-21-2020,10-21-2020,IP address used to host a probable Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Dedicated Server;Ryuk
Address,45.153.240.138,75,10-21-2020,10-21-2020,IP address used to host a probable Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Ryuk;Dedicated Server
Address,45.153.240.222,75,10-21-2020,10-21-2020,IP address used to host a probable Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Ryuk;Dedicated Server
Address,188.116.36.155,75,10-21-2020,10-21-2020,IP address used to host a probable Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Dedicated Server;Ryuk
Address,45.153.240.133,75,10-21-2020,10-21-2020,IP address used to host a probable Ryuk domain on a dedicated server in mid October 2020.,ThreatConnect Enrichment,Dedicated Server;Ryuk
Address,108.62.12.114,84,10-19-2020,10-19-2020,"IP address used to host a most likely Ryuk domain on a dedicated server in mid October 2020.

",ThreatConnect Enrichment,Ryuk;Dedicated Server
Address,108.62.12.119,84,10-19-2020,10-19-2020,"IP address used to host a most likely Ryuk domain on a dedicated server in mid October 2020.

",ThreatConnect Enrichment,Ryuk;Dedicated Server
Address,108.62.12.121,84,10-19-2020,10-19-2020,"IP address used to host a most likely Ryuk domain on a dedicated server in mid October 2020.

",ThreatConnect Enrichment,Ryuk;Dedicated Server
Address,108.62.12.12,84,10-19-2020,10-19-2020,"IP address used to host a most likely Ryuk domain on a dedicated server in mid October 2020.

",ThreatConnect Enrichment,Ryuk;Dedicated Server
Address,74.118.138.139,84,10-19-2020,10-19-2020,"IP address used to host a most likely Ryuk domain on a dedicated server in mid October 2020.

",ThreatConnect Enrichment,Ryuk;Dedicated Server
Address,74.118.138.138,84,10-19-2020,10-19-2020,"IP address used to host a most likely Ryuk domain on a dedicated server in mid October 2020.

",ThreatConnect Enrichment,Dedicated Server;Ryuk
Address,74.118.138.137,84,10-19-2020,10-19-2020,"IP address used to host a most likely Ryuk domain on a dedicated server in mid October 2020.

",ThreatConnect Enrichment,Dedicated Server;Ryuk
Address,74.118.138.116,84,10-19-2020,10-19-2020,"IP address used to host a most likely Ryuk domain on a dedicated server in mid October 2020.

",ThreatConnect Enrichment,Ryuk;Dedicated Server
Address,74.118.138.115,84,10-19-2020,10-19-2020,"IP address used to host a most likely Ryuk domain on a dedicated server in mid October 2020.

",ThreatConnect Enrichment,Ryuk;Dedicated Server
Address,108.62.12.116,84,10-19-2020,10-19-2020,"IP address used to host a most likely Ryuk domain on a dedicated server in mid October 2020.

",ThreatConnect Enrichment,Ryuk;Dedicated Server
Address,108.62.12.105,84,10-19-2020,10-19-2020,"IP address used to host a most likely Ryuk domain on a dedicated server in mid October 2020.

",ThreatConnect Enrichment,Dedicated Server;Ryuk
Address,108.177.235.53,84,10-19-2020,10-19-2020,"IP address used to host a most likely Ryuk domain on a dedicated server in mid October 2020.

",ThreatConnect Enrichment,Dedicated Server;Ryuk
Host,topservicebooster.com,87,10-19-2020,10-19-2020,"Most likely Ryuk domain registered in mid October 2020 and hosted on a dedicated server.

",ThreatConnect Enrichment,Dedicated Server;Ryuk
